linha;patrimonio;nome;motivo
947;6613;ROTEADOR;Campos obrigatórios vazios: Responsável
948;6614;ROTEADOR;Campos obrigatórios vazios: Responsável
949;6615;ROTEADOR;Campos obrigatórios vazios: Responsável
950;6616;ROTEADOR;Campos obrigatórios vazios: Responsável
951;6617;ROTEADOR;Campos obrigatórios vazios: Responsável
952;6618;ROTEADOR;Campos obrigatórios vazios: Responsável
953;6619;ROTEADOR;Campos obrigatórios vazios: Responsável
954;6620;ROTEADOR;Campos obrigatórios vazios: Responsável
955;6621;ROTEADOR;Campos obrigatórios vazios: Responsável
956;6622;ROTEADOR;Campos obrigatórios vazios: Responsável
957;6623;ROTEADOR;Campos obrigatórios vazios: Responsável
958;6624;ROTEADOR;Campos obrigatórios vazios: Responsável
959;6625;ROTEADOR;Campos obrigatórios vazios: Responsável
960;6626;ROTEADOR;Campos obrigatórios vazios: Responsável
961;6627;ROTEADOR;Campos obrigatórios vazios: Responsável
962;6628;ROTEADOR;Campos obrigatórios vazios: Responsável
963;6629;ROTEADOR;Campos obrigatórios vazios: Responsável
964;6630;ROTEADOR;Campos obrigatórios vazios: Responsável
965;6631;PROJETOR;Campos obrigatórios vazios: Responsável
966;6632;PROJETOR;Campos obrigatórios vazios: Responsável
967;6633;PC;Campos obrigatórios vazios: Responsável
968;6634;PC;Campos obrigatórios vazios: Responsável
969;6635;PC;Campos obrigatórios vazios: Responsável
970;6642;IMPRESSORA;Campos obrigatórios vazios: Responsável
971;6651;PC;Campos obrigatórios vazios: Responsável
972;6652;PC;Campos obrigatórios vazios: Responsável
973;6653;PC;Campos obrigatórios vazios: Responsável
974;6764;PC;Campos obrigatórios vazios: Responsável
975;6790;PC;Campos obrigatórios vazios: Responsável
976;6791;PC;Campos obrigatórios vazios: Responsável
977;6792;TV;Campos obrigatórios vazios: Responsável
978;6885;TV;Campos obrigatórios vazios: Responsável
979;7030;PC;Campos obrigatórios vazios: Responsável
980;7031;ROTEADOR;Campos obrigatórios vazios: Marca, Responsável
981;7032;NOTEBOOK;Campos obrigatórios vazios: Responsável
982;7033;PC;Campos obrigatórios vazios: Responsável
983;7034;PC;Campos obrigatórios vazios: Responsável
984;7035;PC;Campos obrigatórios vazios: Responsável
985;7036;PC;Campos obrigatórios vazios: Responsável
986;7070;MONITOR;Campos obrigatórios vazios: Responsável
987;7071;MONITOR;Campos obrigatórios vazios: Responsável
988;7091;MONITOR;Campos obrigatórios vazios: Responsável
989;7092;MONITOR;Campos obrigatórios vazios: Responsável
990;7093;DOCK STATION;Campos obrigatórios vazios: Marca, Responsável
991;7094;PC;Campos obrigatórios vazios: Responsável
992;7095;SWITCH POE;Campos obrigatórios vazios: Responsável
993;7096;SWITCH POE;Campos obrigatórios vazios: Responsável
994;7097;SWITCH POE;Campos obrigatórios vazios: Responsável
995;7098;SWITCH POE;Campos obrigatórios vazios: Responsável
996;7099;PC;Campos obrigatórios vazios: Responsável
997;7102;SERVIDOR;Campos obrigatórios vazios: Responsável
998;7112;PROJETOR;Campos obrigatórios vazios: Responsável
999;7113;PROJETOR;Campos obrigatórios vazios: Responsável
1000;7114;PROJETOR;Campos obrigatórios vazios: Responsável
1001;7115;PROJETOR;Campos obrigatórios vazios: Responsável
1002;7132;CONTROLADORA;Campos obrigatórios vazios: Responsável
1003;7133;PC;Campos obrigatórios vazios: Responsável
1004;7134;PC;Campos obrigatórios vazios: Responsável
1005;7135;PC;Campos obrigatórios vazios: Responsável
1006;7136;PC;Campos obrigatórios vazios: Responsável
1007;7162;MONITOR;Campos obrigatórios vazios: Responsável
1008;7163;MONITOR;Campos obrigatórios vazios: Responsável
1009;7164;MONITOR;Campos obrigatórios vazios: Responsável
1010;7165;MONITOR;Campos obrigatórios vazios: Responsável
1011;7206;RACK;Campos obrigatórios vazios: Marca, Responsável
1012;7301;SWITCH;Campos obrigatórios vazios: Responsável
1013;7302;SWITCH;Campos obrigatórios vazios: Responsável
1014;7303;SWITCH;Campos obrigatórios vazios: Responsável
1015;7304;SWITCH;Campos obrigatórios vazios: Responsável
1016;9433;MONITOR;Campos obrigatórios vazios: Responsável
1017;9434;MONITOR;Campos obrigatórios vazios: Responsável
1018;9435;MONITOR;Campos obrigatórios vazios: Responsável
1019;34;MONITOR;Campos obrigatórios vazios: Responsável
1020;39;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Local/Setor, Responsável
1021;41;SWITCH;Campos obrigatórios vazios: Responsável
1022;42;IMPRESSORA;Campos obrigatórios vazios: Responsável
1023;55;PC;Campos obrigatórios vazios: Responsável
1024;56;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Local/Setor, Responsável
1025;66;MONITOR;Campos obrigatórios vazios: Responsável
1026;67;PC;Campos obrigatórios vazios: Marca, Responsável
1027;69;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Local/Setor, Responsável
1028;72;LEITORA DE CARTÃO;Campos obrigatórios vazios: Responsável
1029;75;IMPRESSORA;Campos obrigatórios vazios: Responsável
1030;79;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
1031;80;PC;Campos obrigatórios vazios: Local/Setor, Responsável
1032;81;MONITOR;Campos obrigatórios vazios: Responsável
1033;88;MONITOR;Campos obrigatórios vazios: Responsável
1034;89;PC;Campos obrigatórios vazios: Responsável
1035;129;PC;Campos obrigatórios vazios: Marca, Responsável
1036;130;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
1037;145;PC;Campos obrigatórios vazios: Marca, Responsável
1038;159;PC;Campos obrigatórios vazios: Marca, Responsável
1039;161;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
1040;195;IMPRESSORA;Campos obrigatórios vazios: Responsável
